Nomor,T-in (mm.ss),T-out (mm.ss),T-in,T-out,ΔT,Volume,VMax,Kepadatan,Kecepatan,Kecepatan Normalisasi,Hambatan Kendaraan Menyebrang,Hambatan Kendaraan Besar,Hambatan Kendaraan Berhenti Pada Sisi Jalan,Total Hambatan,Keterangan Video
495,26:52:00,28:30:00,1612,1710,98,13,35,0.371428571428571,0.408163265306122,0.0510204081632653,1,1,0,2,Video 4
496,26:57:00,29:23:00,1617,1763,146,13,35,0.371428571428571,0.273972602739726,0.0342465753424658,3,1,0,4,Video 4
497,26:59:00,27:44:00,1619,1664,45,14,35,0.4,0.888888888888889,0.111111111111111,0,1,0,1,Video 4
498,27:05:00,28:59:00,1625,1739,114,15,35,0.428571428571429,0.350877192982456,0.043859649122807,0,2,0,2,Video 4
499,27:13:00,29:16:00,1633,1756,123,17,35,0.485714285714286,0.32520325203252,0.040650406504065,0,2,0,2,Video 4
500,27:38:00,29:27:00,1658,1767,109,16,35,0.457142857142857,0.36697247706422,0.0458715596330275,1,1,0,2,Video 4
501,00:05,3:50,5,230,225,19,35,0.542857142857143,0.177777777777778,0.0222222222222222,1,0,2,3,Video 6
502,0:08,1:40,8,100,92,19,35,0.542857142857143,0.434782608695652,0.0543478260869565,2,0,2,4,Video 6
503,0:18,4:02,18,242,224,21,35,0.6,0.178571428571429,0.0223214285714286,3,0,2,5,Video 6
504,0:41,1:52,41,112,71,19,35,0.542857142857143,0.563380281690141,0.0704225352112676,1,0,2,3,Video 6
505,0:57,5:04,57,304,247,17,35,0.485714285714286,0.161943319838057,0.0202429149797571,2,0,2,4,Video 6
506,1:04,3:45,64,225,161,19,35,0.542857142857143,0.248447204968944,0.031055900621118,4,0,2,6,Video 6
507,1:40,6:18,100,378,278,16,35,0.457142857142857,0.143884892086331,0.0179856115107914,0,0,1,1,Video 6
508,1:44,4:25,104,265,161,17,35,0.485714285714286,0.248447204968944,0.031055900621118,0,0,1,1,Video 6
509,1:44,5:09,104,309,205,17,35,0.485714285714286,0.195121951219512,0.024390243902439,0,0,1,1,Video 6
510,1:46,4:01,106,241,135,17,35,0.485714285714286,0.296296296296296,0.037037037037037,0,0,1,1,Video 6
511,1:48,4:34,108,274,166,18,35,0.514285714285714,0.240963855421687,0.0301204819277108,0,0,1,1,Video 6
512,1:50,4:20,110,260,150,18,35,0.514285714285714,0.266666666666667,0.0333333333333333,0,0,1,1,Video 6
513,1:55,6:40,115,400,285,22,35,0.628571428571429,0.140350877192982,0.0175438596491228,0,0,1,1,Video 6
514,2:01,5:25,121,325,204,21,35,0.6,0.196078431372549,0.0245098039215686,0,0,1,1,Video 6
515,2:07,6:24,127,384,257,26,35,0.742857142857143,0.155642023346304,0.0194552529182879,0,0,2,2,Video 6
516,2:07,7:20,127,440,313,26,35,0.742857142857143,0.12779552715655,0.0159744408945687,0,0,2,2,Video 6
517,2:36,6:55,156,415,259,29,35,0.828571428571429,0.154440154440154,0.0193050193050193,0,0,2,2,Video 6
518,2:53,7:05,173,425,252,27,35,0.771428571428572,0.158730158730159,0.0198412698412698,0,0,2,2,Video 6
519,2:54,7:53,174,473,299,27,35,0.771428571428572,0.133779264214047,0.0167224080267559,0,0,2,2,Video 6
520,3:04,9:55,184,595,411,32,35,0.914285714285714,0.097323600973236,0.0121654501216545,0,0,2,2,Video 6
521,3:39,6:50,219,410,191,32,35,0.914285714285714,0.209424083769634,0.0261780104712042,0,0,2,2,Video 6
522,4:02,10:06,242,606,364,27,35,0.771428571428572,0.10989010989011,0.0137362637362637,0,0,2,2,Video 6
523,4:05,9:45,245,585,340,26,35,0.742857142857143,0.117647058823529,0.0147058823529412,0,0,2,2,Video 6
524,4:07,10:05,247,605,358,22,35,0.628571428571429,0.111731843575419,0.0139664804469274,0,0,2,2,Video 6
525,4:09,10:03,249,603,354,22,35,0.628571428571429,0.112994350282486,0.0141242937853107,0,0,2,2,Video 6
526,4:15,6:06,255,366,111,22,35,0.628571428571429,0.36036036036036,0.045045045045045,0,0,2,2,Video 6
527,4:17,10:15,257,615,358,22,35,0.628571428571429,0.111731843575419,0.0139664804469274,0,0,2,2,Video 6
528,4:23,10:16,263,616,353,27,35,0.771428571428572,0.113314447592068,0.0141643059490085,0,0,2,2,Video 6
529,4:43,10:32,283,632,349,23,35,0.657142857142857,0.114613180515759,0.0143266475644699,0,0,2,2,Video 6
530,5:20,10:56,320,656,336,28,35,0.8,0.119047619047619,0.0148809523809524,0,0,2,2,Video 6
531,5:35,10:47,335,647,312,26,35,0.742857142857143,0.128205128205128,0.016025641025641,0,0,2,2,Video 6
532,5:47,10:34,347,634,287,25,35,0.714285714285714,0.139372822299652,0.0174216027874564,0,0,2,2,Video 6
533,5:49,10:57,349,657,308,24,35,0.685714285714286,0.12987012987013,0.0162337662337662,0,0,2,2,Video 6
534,5:55,11:03,355,663,308,26,35,0.742857142857143,0.12987012987013,0.0162337662337662,0,0,2,2,Video 6
535,6:00,11:05,360,665,305,29,35,0.828571428571429,0.131147540983607,0.0163934426229508,0,0,2,2,Video 6
536,6:01,11:06,361,666,305,28,35,0.8,0.131147540983607,0.0163934426229508,0,0,2,2,Video 6
537,6:07,10:47,367,647,280,28,35,0.8,0.142857142857143,0.0178571428571429,0,0,2,2,Video 6
538,6:10,11:09,370,669,299,30,35,0.857142857142857,0.133779264214047,0.0167224080267559,0,0,1,1,Video 6
539,6:35,11:06,395,666,271,27,35,0.771428571428572,0.14760147601476,0.018450184501845,0,0,1,1,Video 6
540,6:41,11:09,401,669,268,26,35,0.742857142857143,0.149253731343284,0.0186567164179104,0,0,1,1,Video 6
541,6:53,11:21,413,681,268,30,35,0.857142857142857,0.149253731343284,0.0186567164179104,1,0,1,2,Video 6
542,7:35,12:08,455,728,273,32,35,0.914285714285714,0.146520146520147,0.0183150183150183,1,0,1,2,Video 6
543,7:38,11:43,458,703,245,32,35,0.914285714285714,0.163265306122449,0.0204081632653061,3,0,1,4,Video 6
544,7:57,11:25,477,685,208,29,35,0.828571428571429,0.192307692307692,0.0240384615384615,3,0,1,4,Video 6
545,8:54,11:21,534,681,147,33,35,0.942857142857143,0.272108843537415,0.0340136054421769,4,0,1,5,Video 6
546,9:21,11:52,561,712,151,32,35,0.914285714285714,0.264900662251656,0.033112582781457,0,0,1,1,Video 6
547,10:09,11:44,609,704,95,27,35,0.771428571428572,0.421052631578947,0.0526315789473684,0,0,1,1,Video 6
548,10:11,12:09,611,729,118,23,35,0.657142857142857,0.338983050847458,0.0423728813559322,0,0,1,1,Video 6
549,10:16,12:24,616,744,128,25,35,0.714285714285714,0.3125,0.0390625,0,0,1,1,Video 6
550,10:29,11:25,629,745,116,22,35,0.628571428571429,0.344827586206897,0.0431034482758621,0,0,1,1,Video 6
551,10:31,12:51,631,771,140,22,35,0.628571428571429,0.285714285714286,0.0357142857142857,0,0,1,1,Video 6
552,10:32,15:05,632,905,273,21,35,0.6,0.146520146520147,0.0183150183150183,0,0,1,1,Video 6
553,10:39,15:56,639,956,317,24,35,0.685714285714286,0.126182965299685,0.0157728706624606,3,0,1,4,Video 6
554,10:50,13:29,650,809,159,23,35,0.657142857142857,0.251572327044025,0.0314465408805031,0,0,1,1,Video 6
555,10:52,12:17,652,737,85,24,35,0.685714285714286,0.470588235294118,0.0588235294117647,0,0,1,1,Video 6
556,11:00,16:30,660,990,330,22,35,0.628571428571429,0.121212121212121,0.0151515151515152,0,0,1,1,Video 6
557,11:02,14:26,662,866,204,23,35,0.657142857142857,0.196078431372549,0.0245098039215686,0,0,1,1,Video 6
558,11:04,16:22,664,982,318,24,35,0.685714285714286,0.125786163522013,0.0157232704402516,0,0,1,1,Video 6
559,11:08,12:01,668,721,53,21,35,0.6,0.754716981132076,0.0943396226415094,1,0,0,1,Video 6
560,11:13,16:30,673,990,317,25,35,0.714285714285714,0.126182965299685,0.0157728706624606,1,0,1,2,Video 6
561,11:14,16:04,674,964,290,25,35,0.714285714285714,0.137931034482759,0.0172413793103448,1,0,1,2,Video 6
562,11:18,16:36,678,996,318,29,35,0.828571428571429,0.125786163522013,0.0157232704402516,0,0,1,1,Video 6
563,11:22,16:40,682,1000,318,30,35,0.857142857142857,0.125786163522013,0.0157232704402516,0,0,1,1,Video 6
564,11:22,11:53,682,713,31,30,35,0.857142857142857,1.29032258064516,0.161290322580645,0,0,1,1,Video 6
565,11:29,16:31,689,991,302,28,35,0.8,0.132450331125828,0.0165562913907285,0,0,1,1,Video 6
566,11:32,16:41,692,1001,309,31,35,0.885714285714286,0.129449838187702,0.0161812297734628,0,0,1,1,Video 6
567,11:36,17:38,696,1058,362,33,35,0.942857142857143,0.110497237569061,0.0138121546961326,0,0,2,2,Video 6
568,11:38,16:34,698,994,296,34,35,0.971428571428571,0.135135135135135,0.0168918918918919,0,0,2,2,Video 6
569,11:45,16:38,705,998,293,24,35,0.685714285714286,0.136518771331058,0.0170648464163823,0,0,2,2,Video 6
570,11:49,16:42,709,1002,293,23,35,0.657142857142857,0.136518771331058,0.0170648464163823,0,0,3,3,Video 6
571,11:51,17:43,711,1063,352,23,35,0.657142857142857,0.113636363636364,0.0142045454545455,0,0,3,3,Video 6
572,11:54,16:58,714,1018,304,26,35,0.742857142857143,0.131578947368421,0.0164473684210526,0,0,3,3,Video 6
573,11:56,13:24,716,804,88,26,35,0.742857142857143,0.454545454545455,0.0568181818181818,0,0,3,3,Video 6
574,11:58,17:45,718,1065,347,27,35,0.771428571428572,0.115273775216138,0.0144092219020173,0,0,3,3,Video 6
575,12:18,13:14,738,794,56,24,35,0.685714285714286,0.714285714285714,0.0892857142857143,0,0,3,3,Video 6
576,12:32,17:06,752,1056,304,25,35,0.714285714285714,0.131578947368421,0.0164473684210526,0,0,3,3,Video 6
577,12:37,17:52,757,1072,315,25,35,0.714285714285714,0.126984126984127,0.0158730158730159,0,0,3,3,Video 6
578,12:43,17:42,763,1062,299,26,35,0.742857142857143,0.133779264214047,0.0167224080267559,0,0,3,3,Video 6
579,12:47,17:18,467,1038,571,26,35,0.742857142857143,0.0700525394045534,0.00875656742556918,0,0,3,3,Video 6
580,13:00,16:36,780,996,216,27,35,0.771428571428572,0.185185185185185,0.0231481481481481,0,0,3,3,Video 6
581,13:06,17:24,786,1044,258,30,35,0.857142857142857,0.155038759689922,0.0193798449612403,1,0,3,4,Video 6
582,13:17,17:58,797,1078,281,28,35,0.8,0.142348754448399,0.0177935943060498,0,0,3,3,Video 6
583,13:25,17:30,805,1050,245,30,35,0.857142857142857,0.163265306122449,0.0204081632653061,0,0,3,3,Video 6
584,13:31,17:48,811,1068,257,28,35,0.8,0.155642023346304,0.0194552529182879,0,0,3,3,Video 6
585,13:40,17:45,820,1065,245,28,35,0.8,0.163265306122449,0.0204081632653061,3,0,3,6,Video 6
586,15:40,17:50,940,1070,130,28,35,0.8,0.307692307692308,0.0384615384615385,6,0,3,9,Video 6
587,15:52,18:07,952,1087,135,29,35,0.828571428571429,0.296296296296296,0.037037037037037,0,0,3,3,Video 6
588,16:24,17:54,984,1074,90,25,35,0.714285714285714,0.444444444444444,0.0555555555555556,0,0,3,3,Video 6
589,16:37,17:51,997,1071,74,20,35,0.571428571428571,0.540540540540541,0.0675675675675676,3,0,2,5,Video 6
590,16:42,17:53,1002,1073,71,19,35,0.542857142857143,0.563380281690141,0.0704225352112676,3,0,1,4,Video 6
591,16:54,18:11,1014,1091,77,25,35,0.714285714285714,0.519480519480519,0.0649350649350649,3,0,0,3,Video 6
592,17:02,18:14,1022,1094,72,27,35,0.771428571428572,0.555555555555556,0.0694444444444445,3,0,0,3,Video 6
593,17:17,18:09,1037,1089,52,30,35,0.857142857142857,0.769230769230769,0.0961538461538462,3,0,0,3,Video 6
594,17:22,18:20,1042,1100,58,28,35,0.8,0.689655172413793,0.0862068965517241,6,0,0,6,Video 6
595,18:03,18:34,1083,1114,31,17,35,0.485714285714286,1.29032258064516,0.161290322580645,0,0,1,1,Video 6
596,18:03,18:34,1083,1114,31,17,35,0.485714285714286,1.29032258064516,0.161290322580645,0,0,1,1,Video 6
597,18:06,18:37,1086,1117,31,17,35,0.485714285714286,1.29032258064516,0.161290322580645,0,0,1,1,Video 6
598,18:07,18:36,1087,1116,29,20,35,0.571428571428571,1.37931034482759,0.172413793103448,0,0,1,1,Video 6
599,18:08,18:39,1088,1119,31,20,35,0.571428571428571,1.29032258064516,0.161290322580645,0,0,1,1,Video 6
600,18:12,18:40,1092,1120,28,23,35,0.657142857142857,1.42857142857143,0.178571428571429,0,0,1,1,Video 6
601,18:14,18:41,1094,1121,27,23,35,0.657142857142857,1.48148148148148,0.185185185185185,0,0,1,1,Video 6
602,18:19,18:45,1099,1125,26,20,35,0.571428571428571,1.53846153846154,0.192307692307692,0,0,1,1,Video 6
603,18:21,18:42,1101,1122,21,20,35,0.571428571428571,1.9047619047619,0.238095238095238,0,0,1,1,Video 6
604,18:24,19:00,1104,1140,36,18,35,0.514285714285714,1.11111111111111,0.138888888888889,0,0,1,1,Video 6
605,18:25,18:46,1105,1126,21,18,35,0.514285714285714,1.9047619047619,0.238095238095238,0,0,1,1,Video 6
606,18:28,19:08,1108,1148,40,17,35,0.485714285714286,1,0.125,0,0,1,1,Video 6
607,18:29,18:55,1109,1135,26,18,35,0.514285714285714,1.53846153846154,0.192307692307692,0,0,1,1,Video 6
608,18:30,19:21,1110,1161,51,18,35,0.514285714285714,0.784313725490196,0.0980392156862745,0,0,1,1,Video 6
609,18:33,19:23,1113,1163,50,17,35,0.485714285714286,0.8,0.1,0,0,1,1,Video 6
610,18:33,19:17,1113,1157,44,17,35,0.485714285714286,0.909090909090909,0.113636363636364,0,0,1,1,Video 6
611,18:48,19:33,1128,1173,45,15,35,0.428571428571429,0.888888888888889,0.111111111111111,0,0,1,1,Video 6
612,18:50,19:44,1130,1184,54,17,35,0.485714285714286,0.740740740740741,0.0925925925925926,0,0,1,1,Video 6
613,18:50,19:36,1130,1176,46,17,35,0.485714285714286,0.869565217391304,0.108695652173913,0,0,1,1,Video 6
614,18:51,19:37,1131,1177,46,17,35,0.485714285714286,0.869565217391304,0.108695652173913,0,0,1,1,Video 6
615,18:55,19:41,1135,1181,46,19,35,0.542857142857143,0.869565217391304,0.108695652173913,1,0,1,2,Video 6
616,18:56,19:40,1136,1180,44,19,35,0.542857142857143,0.909090909090909,0.113636363636364,1,0,1,2,Video 6
617,18:57,19:40,1137,1180,43,21,35,0.6,0.930232558139535,0.116279069767442,2,0,1,3,Video 6
618,19:00,19:43,1140,1183,43,19,35,0.542857142857143,0.930232558139535,0.116279069767442,2,0,2,4,Video 6
619,19:04,19:46,1144,1186,42,17,35,0.485714285714286,0.952380952380952,0.119047619047619,2,0,2,4,Video 6
620,19:12,19:49,1152,1189,37,16,35,0.457142857142857,1.08108108108108,0.135135135135135,2,0,2,4,Video 6
621,19:22,19:44,1162,1184,22,15,35,0.428571428571429,1.81818181818182,0.227272727272727,1,0,2,3,Video 6
622,19:22,19:42,1162,1182,20,15,35,0.428571428571429,2,0.25,1,0,2,3,Video 6
623,19:33,22:32,1173,1352,179,13,35,0.371428571428571,0.223463687150838,0.0279329608938547,0,0,2,2,Video 6
624,19:34,19:48,1174,1188,14,13,35,0.371428571428571,2.85714285714286,0.357142857142857,0,0,2,2,Video 6
625,19:35,19:55,1175,1195,20,13,35,0.371428571428571,2,0.25,0,0,2,2,Video 6
626,19:36,20:05,1176,1205,29,13,35,0.371428571428571,1.37931034482759,0.172413793103448,0,0,2,2,Video 6
627,19:38,19:51,1178,1191,13,14,35,0.4,3.07692307692308,0.384615384615385,0,0,2,2,Video 6
628,19:39,19:57,1179,1197,18,13,35,0.371428571428571,2.22222222222222,0.277777777777778,0,0,2,2,Video 6
629,19:42,19:59,1182,1199,17,13,35,0.371428571428571,2.35294117647059,0.294117647058824,0,0,2,2,Video 6
630,19:44,20:00,1184,1200,16,12,35,0.342857142857143,2.5,0.3125,0,0,1,1,Video 6
631,20:22,20:34,1222,1234,12,12,35,0.342857142857143,3.33333333333333,0.416666666666667,0,0,1,1,Video 6
632,20:22,20:33,1222,1233,11,12,35,0.342857142857143,3.63636363636364,0.454545454545455,0,0,1,1,Video 6
633,20:24,20:39,1224,1239,15,11,35,0.314285714285714,2.66666666666667,0.333333333333333,0,0,1,1,Video 6
634,20:26,20:45,1226,1245,19,10,35,0.285714285714286,2.10526315789474,0.263157894736842,0,0,1,1,Video 6
635,20:28,20:44,1228,1244,16,11,35,0.314285714285714,2.5,0.3125,0,0,1,1,Video 6
636,20:29,20:50,1229,1250,21,10,35,0.285714285714286,1.9047619047619,0.238095238095238,0,0,1,1,Video 6
637,20:31,20:56,1231,1256,25,10,35,0.285714285714286,1.6,0.2,0,0,1,1,Video 6
638,20:32,20:49,1232,1249,17,10,35,0.285714285714286,2.35294117647059,0.294117647058824,0,0,1,1,Video 6
639,20:34,20:59,1234,1259,25,11,35,0.314285714285714,1.6,0.2,0,0,1,1,Video 6
640,20:49,21:12,1249,1272,23,11,35,0.314285714285714,1.73913043478261,0.217391304347826,2,0,1,3,Video 6
641,20:58,21:09,1258,1269,11,8,35,0.228571428571429,3.63636363636364,0.454545454545455,2,0,1,3,Video 6
642,21:03,21:18,1263,1278,15,10,35,0.285714285714286,2.66666666666667,0.333333333333333,0,0,1,1,Video 6
643,21:07,21:24,1267,1284,17,8,35,0.228571428571429,2.35294117647059,0.294117647058824,0,0,1,1,Video 6
644,21:10,21:26,1270,1286,16,8,35,0.228571428571429,2.5,0.3125,0,0,1,1,Video 6
645,21:11,21:29,1271,1289,18,8,35,0.228571428571429,2.22222222222222,0.277777777777778,0,0,1,1,Video 6
646,21:20,21:47,1280,1307,27,9,35,0.257142857142857,1.48148148148148,0.185185185185185,0,0,1,1,Video 6
647,21:23,21:58,1283,1318,35,10,35,0.285714285714286,1.14285714285714,0.142857142857143,0,0,1,1,Video 6
648,21:24,22:07,1284,1307,23,10,35,0.285714285714286,1.73913043478261,0.217391304347826,0,0,1,1,Video 6
649,21:29,22:10,1289,1330,41,8,35,0.228571428571429,0.975609756097561,0.121951219512195,0,0,1,1,Video 6
650,21:30,22:20,1290,1340,50,8,35,0.228571428571429,0.8,0.1,1,0,1,2,Video 6
651,21:32,22:24,1292,1344,52,9,35,0.257142857142857,0.769230769230769,0.0961538461538462,1,0,1,2,Video 6
652,21:34,22:14,1294,1334,40,10,35,0.285714285714286,1,0.125,1,0,1,2,Video 6
653,21:35,22:26,1295,1346,51,10,35,0.285714285714286,0.784313725490196,0.0980392156862745,1,0,1,2,Video 6
654,21:39,22:33,1299,1353,54,12,35,0.342857142857143,0.740740740740741,0.0925925925925926,0,0,1,1,Video 6
655,21:39,22:33,1299,1353,54,12,35,0.342857142857143,0.740740740740741,0.0925925925925926,0,0,1,1,Video 6
656,21:44,22:50,1304,1370,66,11,35,0.314285714285714,0.606060606060606,0.0757575757575758,0,0,1,1,Video 6
657,21:50,22:52,1310,1372,62,11,35,0.314285714285714,0.645161290322581,0.0806451612903226,0,0,1,1,Video 6
658,21:58,22:27,1318,1347,29,12,35,0.342857142857143,1.37931034482759,0.172413793103448,0,0,1,1,Video 6
659,21:59,22:41,1319,1361,42,12,35,0.342857142857143,0.952380952380952,0.119047619047619,1,0,0,1,Video 6
660,22:05,23:01,1325,1380,55,16,35,0.457142857142857,0.727272727272727,0.0909090909090909,2,0,0,2,Video 6
661,22:05,22:50,1325,1370,45,16,35,0.457142857142857,0.888888888888889,0.111111111111111,2,0,0,2,Video 6
662,22:09,22:50,1329,1370,41,13,35,0.371428571428571,0.975609756097561,0.121951219512195,2,0,0,2,Video 6
663,22:14,22:43,1334,1363,29,14,35,0.4,1.37931034482759,0.172413793103448,1,0,0,1,Video 6
664,22:20,22:58,1340,1378,38,17,35,0.485714285714286,1.05263157894737,0.131578947368421,1,0,0,1,Video 6
665,22:28,22:53,1348,1373,25,13,35,0.371428571428571,1.6,0.2,1,0,0,1,Video 6
666,22:38,23:01,1358,1381,23,14,35,0.4,1.73913043478261,0.217391304347826,2,0,0,2,Video 6
667,23:05,23:25,1385,1405,20,13,35,0.371428571428571,2,0.25,0,0,1,1,Video 6
668,23:10,23:30,1390,1410,20,11,35,0.314285714285714,2,0.25,0,0,1,1,Video 6
669,23:13,23:33,1393,1413,20,11,35,0.314285714285714,2,0.25,0,0,1,1,Video 6
670,23:14,23:33,1394,1413,19,10,35,0.285714285714286,2.10526315789474,0.263157894736842,0,0,1,1,Video 6
671,23:18,23:42,1398,1422,24,9,35,0.257142857142857,1.66666666666667,0.208333333333333,0,0,1,1,Video 6
672,23:18,23:39,1398,1419,21,9,35,0.257142857142857,1.9047619047619,0.238095238095238,0,0,1,1,Video 6
673,23:21,23:55,1401,1435,34,9,35,0.257142857142857,1.17647058823529,0.147058823529412,0,0,1,1,Video 6
674,23:22,23:44,1402,1424,22,10,35,0.285714285714286,1.81818181818182,0.227272727272727,0,0,1,1,Video 6
675,23:24,24:00:00,1404,1440,36,10,35,0.285714285714286,1.11111111111111,0.138888888888889,0,0,1,1,Video 6
676,23:24,23:51,1404,1431,27,10,35,0.285714285714286,1.48148148148148,0.185185185185185,0,0,1,1,Video 6
677,23:28,23:55,1408,1435,27,12,35,0.342857142857143,1.48148148148148,0.185185185185185,2,0,0,2,Video 6
678,23:29,24:41:00,1409,1481,72,12,35,0.342857142857143,0.555555555555556,0.0694444444444445,2,0,0,2,Video 6
679,23:31,24:03:00,1411,1443,32,11,35,0.314285714285714,1.25,0.15625,2,0,0,2,Video 6
680,23:32,24:52:00,1412,1492,80,11,35,0.314285714285714,0.5,0.0625,2,0,0,2,Video 6
681,23:48,25:16:00,1428,1516,88,16,35,0.457142857142857,0.454545454545455,0.0568181818181818,0,0,1,1,Video 6
682,23:48,25:20:00,1428,1520,92,16,35,0.457142857142857,0.434782608695652,0.0543478260869565,0,0,1,1,Video 6
683,23:53,25:25:00,1433,1525,92,14,35,0.4,0.434782608695652,0.0543478260869565,1,0,1,2,Video 6
684,23:56,25:19:00,1436,1519,83,13,35,0.371428571428571,0.481927710843374,0.0602409638554217,1,0,1,2,Video 6
685,24:01:00,25:27:00,1441,1527,86,15,35,0.428571428571429,0.465116279069767,0.0581395348837209,0,0,1,1,Video 6
686,24:02:00,25:40:00,1442,1540,98,15,35,0.428571428571429,0.408163265306122,0.0510204081632653,1,0,1,2,Video 6
687,24:13:00,25:45:00,1453,1545,92,13,35,0.371428571428571,0.434782608695652,0.0543478260869565,1,0,1,2,Video 6
688,24:20:00,25:39:00,1460,1538,78,15,35,0.428571428571429,0.512820512820513,0.0641025641025641,0,0,2,2,Video 6
689,24:27:00,25:45:00,1467,1545,78,16,35,0.457142857142857,0.512820512820513,0.0641025641025641,0,0,2,2,Video 6
690,24:33:00,25:43:00,1473,1543,70,16,35,0.457142857142857,0.571428571428571,0.0714285714285714,0,0,2,2,Video 6
691,24:33:00,25:48:00,1473,1548,75,16,35,0.457142857142857,0.533333333333333,0.0666666666666667,0,0,2,2,Video 6
692,25:10:00,25:51:00,1510,1551,41,14,35,0.4,0.975609756097561,0.121951219512195,0,0,2,2,Video 6
693,25:18:00,25:38:00,1518,1538,20,10,35,0.285714285714286,2,0.25,0,0,1,1,Video 6
694,25:23:00,25:55:00,1523,1555,32,12,35,0.342857142857143,1.25,0.15625,0,0,1,1,Video 6
695,25:23:00,25:46:00,1523,1546,23,12,35,0.342857142857143,1.73913043478261,0.217391304347826,0,0,1,1,Video 6
696,25:29:00,25:58:00,1529,1558,29,14,35,0.4,1.37931034482759,0.172413793103448,0,0,1,1,Video 6
697,25:29:00,25:52:00,1529,1552,23,14,35,0.4,1.73913043478261,0.217391304347826,0,0,1,1,Video 6
698,25:32:00,25:56:00,1532,1556,24,16,35,0.457142857142857,1.66666666666667,0.208333333333333,0,0,2,2,Video 6
699,25:35:00,26:02:00,1535,1562,27,15,35,0.428571428571429,1.48148148148148,0.185185185185185,0,0,2,2,Video 6
700,25:39:00,26:00:00,1539,1560,21,16,35,0.457142857142857,1.9047619047619,0.238095238095238,0,0,2,2,Video 6
701,25:39:00,26:05:00,1539,1565,26,16,35,0.457142857142857,1.53846153846154,0.192307692307692,0,0,1,1,Video 6
702,25:43:00,26:03:00,1543,1563,20,16,35,0.457142857142857,2,0.25,0,0,1,1,Video 6
703,25:47:00,26:08:00,1547,1568,21,16,35,0.457142857142857,1.9047619047619,0.238095238095238,0,0,1,1,Video 6
704,25:48:00,26:06:00,1548,1566,18,16,35,0.457142857142857,2.22222222222222,0.277777777777778,0,0,1,1,Video 6
705,25:51:00,26:12:00,1551,1572,21,15,35,0.428571428571429,1.9047619047619,0.238095238095238,0,0,2,2,Video 6
706,25:53:00,26:10:00,1553,1570,17,14,35,0.4,2.35294117647059,0.294117647058824,0,0,2,2,Video 6
707,25:57:00,26:12:00,1557,1572,15,12,35,0.342857142857143,2.66666666666667,0.333333333333333,0,0,1,1,Video 6
708,25:57:00,26:16:00,1557,1576,19,12,35,0.342857142857143,2.10526315789474,0.263157894736842,0,0,1,1,Video 6
709,26:01:00,26:17:00,1561,1577,16,13,35,0.371428571428571,2.5,0.3125,0,0,1,1,Video 6
710,26:01:00,26:19:00,1561,1579,18,13,35,0.371428571428571,2.22222222222222,0.277777777777778,0,0,1,1,Video 6
711,26:04:00,26:20:00,1564,1580,16,12,35,0.342857142857143,2.5,0.3125,0,0,1,1,Video 6
712,26:05:00,26:23:00,1565,1583,18,13,35,0.371428571428571,2.22222222222222,0.277777777777778,0,0,1,1,Video 6
713,26:08:00,26:48:00,1568,1608,40,12,35,0.342857142857143,1,0.125,0,0,1,1,Video 6
714,26:11:00,26:48:00,1571,1608,37,10,35,0.285714285714286,1.08108108108108,0.135135135135135,1,0,1,2,Video 6
715,26:12:00,26:53:00,1572,1613,41,10,35,0.285714285714286,0.975609756097561,0.121951219512195,1,0,1,2,Video 6
716,26:14:00,26:54:00,1574,1614,40,11,35,0.314285714285714,1,0.125,1,0,1,2,Video 6
717,26:14:00,26:58:00,1574,1618,44,11,35,0.314285714285714,0.909090909090909,0.113636363636364,1,0,1,2,Video 6
718,26:18:00,26:39:00,1578,1599,21,10,35,0.285714285714286,1.9047619047619,0.238095238095238,1,0,1,2,Video 6
719,26:19:00,27:42:00,1579,1662,83,11,35,0.314285714285714,0.481927710843374,0.0602409638554217,2,0,1,3,Video 6
720,26:22:00,26:58:00,1582,1618,36,10,35,0.285714285714286,1.11111111111111,0.138888888888889,1,0,1,2,Video 6
721,26:22:00,27:01:00,1582,1621,39,10,35,0.285714285714286,1.02564102564103,0.128205128205128,1,0,1,2,Video 6
722,26:25:00,27:49:00,1585,1669,84,10,35,0.285714285714286,0.476190476190476,0.0595238095238095,1,0,2,3,Video 6
723,26:27:00,27:10:00,1587,1630,43,11,35,0.314285714285714,0.930232558139535,0.116279069767442,1,0,2,3,Video 6
724,26:30:00,27:16:00,1590,1636,46,12,35,0.342857142857143,0.869565217391304,0.108695652173913,1,0,2,3,Video 6
725,26:30:00,27:17:00,1590,1637,47,12,35,0.342857142857143,0.851063829787234,0.106382978723404,1,0,2,3,Video 6
726,26:34:00,27:27:00,1594,1647,53,11,35,0.314285714285714,0.754716981132076,0.0943396226415094,0,0,2,2,Video 6
727,26:38:00,27:42:00,1598,1662,64,12,35,0.342857142857143,0.625,0.078125,0,0,2,2,Video 6
728,26:38:00,27:53:00,1598,1673,75,12,35,0.342857142857143,0.533333333333333,0.0666666666666667,0,0,2,2,Video 6
729,26:43:00,27:57:00,1603,1677,74,14,35,0.4,0.540540540540541,0.0675675675675676,3,0,2,5,Video 6
730,26:43:00,28:15:00,1603,1695,92,14,35,0.4,0.434782608695652,0.0543478260869565,3,0,2,5,Video 6
